sentiment,headline
neutral,The oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel Enefit-280 shale oil technology processing plant .
neutral,The GeoSolutions team further provides an intriguing new technology combining GPS and Mobile-based technologies together with Internet-based social networking .
neutral,The company did not disclose the price of the acquisition .
negative,"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges ."
negative,A decline of 3.4 per cent was observed in the traffic of Asians.
neutral,In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .
neutral,The company will issue an inaugural Eurobond deal in the near future subject to market conditions .
negative,ROCE's return was negative 2.3 % compared to 11.3 % in 2007.
positive,"Teleste, an international technology group, has been selected as the exclusive supplier of FTTx equipment in Israel by Israeli cable network operator HOT Telecom, according to Teleste."
positive,"Affecto Oyj, a Finnish IT solutions provider, has announced that it has been awarded a frame contract worth approximately EUR2m for the implementation of the next stage of its insurance application for M&F."
negative,"The prosecutor is requesting that Outokumpu pay a maximum fine of EUR 800,000."
positive,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts ."
positive,"TietoEnator, a Finnish-Swedish software company, is rapidly expanding its operations in Russia."
positive,"The sales figure for the quarter was 241 mln eur, which was lower than the consensus forecast of 235 mln eur."
neutral,The implementation of the deal is subject to the approval by the Finnish Competition Authority .
positive,Its market share widened to 48.51 percent from 48.31 percent a year earlier .
positive,Oriola-KD foresees a higher invoicing rate for 2008 than for 2007.
neutral,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal ."
neutral,"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International ."
neutral,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  ."
neutral,The value of the orders is over EUR 10mn .
positive,Kaupthing forecasts a significant price increase for printing paper in 2007 .
negative,"EUR 6.2 mn less than EUR 16.8 mn from EUR 16.8 mn in 2007 was recorded as operating profit (excluding non-recurring items), down 2.3 % from EUR 16.8 mn in 2007."
